,artist_name,track_name,track_id,popularity,like,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
126,LOAN,No Llores,5pKUwnltLk7khjRuB5wpmq,0,0,0.0534,0.556,150915,0.623,0.0,7,0.0689,-4.638,1,0.0727,210.073,4,0.686
127,Cosculluela,Prrrum,3i3a2ZlzQNY8G3uw7lepIz,0,0,0.104,0.838,237547,0.73,0.0,5,0.343,-4.227,0,0.228,90.094,4,0.685
128,Don Omar,Taboo,69pRuwdTK0GTfGPKZLTt0O,41,0,0.0445,0.442,292160,0.886,0.0,0,0.0879,-5.811,1,0.0792,187.4,3,0.809
129,"Tito ""El Bambino""",Siente El Boom,2iHr1co9ElgzHredwMNKOy,67,0,0.112,0.804,188733,0.745,0.0,4,0.0924,-5.805,0,0.0744,95.024,4,0.512
130,Angel Y Khriz,Na De Na,5oQDYIpN3ieXNHwXAr8TXf,62,0,0.19,0.881,202880,0.894,0.0,6,0.109,-5.802,1,0.125,119.948,4,0.694
131,Daddy Yankee,Descontrol,3FOh6ssnmv39CsoMYVUMZA,4,0,0.11,0.729,172907,0.876,0.000715,6,0.301,-3.818,0,0.0679,92.993,4,0.674
132,Daddy Yankee,La Despedida,44f68Zu5X9gJ44ziVnaYoR,9,0,0.0866,0.746,202827,0.993,0.0548,2,0.0689,-2.134,0,0.0499,122.046,4,0.972
133,Cali Y El Dandee,Yo Te Esperaré,7CSj1zTMJxSz7bnHxgGsSF,4,0,0.237,0.476,234253,0.807,0.0,9,0.076,-5.598,1,0.177,175.956,4,0.374
134,Cali Y El Dandee,Volver,7q7LzjZI5HTuJeUQuXPaVk,44,0,0.0274,0.8,258949,0.728,0.0,0,0.312,-5.806,1,0.0377,122.011,4,0.557
135,Sean Paul,Agarra Mi Mano,4kS2aOd7ic0gGccOWss1JV,53,0,0.0956,0.666,208907,0.651,0.0,7,0.214,-3.723,0,0.183,174.077,4,0.372
136,Plan B,Es Un Secreto,2qM1Uus4I6Yx2BGlIzXaI0,63,0,0.106,0.841,190560,0.783,2.49e-06,6,0.0528,-4.915,0,0.0432,94.989,4,0.514
137,Cali Y El Dandee,Gol,6nPK5cF8AVy68xGWvmh4RC,0,0,0.159,0.696,222680,0.746,0.0,1,0.168,-4.74,1,0.0566,126.088,4,0.513
138,Chapa C,Me Tienes Loco,4gZ6scqU7uMVuxZKt9vO7g,41,0,0.0755,0.83,195031,0.914,0.0,6,0.0845,-4.776,1,0.0523,94.982,4,0.888
139,Nova,Bien Loco,4yI3UxqUZPbmHMUb9s2dPa,1,0,0.41,0.721,217836,0.82,0.0,10,0.111,-4.568,1,0.344,169.951,4,0.751
140,DJ Mendez,Lady,4XArlOy9VCGouxpVmbShGZ,0,0,0.0804,0.795,212400,0.91,0.0,10,0.353,-5.927,0,0.0777,129.001,4,0.922
141,Sie7e,Tengo Tu Love,2hgzokI1dOZAxs5PUG0gBT,64,0,0.241,0.702,231573,0.741,0.0,7,0.117,-8.111,1,0.0449,94.999,4,0.7
142,Airbag,Solo Aqui,0OcYoSGA1CFGZcCuPLyfhj,52,0,5.47e-05,0.425,234147,0.818,4.3e-06,11,0.108,-5.758,1,0.039,132.605,4,0.387
143,Sonyk,Mi Vida Eres Tu,1EHfKqLxj0oUA323ciMiyb,2,0,0.693,0.527,218200,0.608,0.0,6,0.137,-8.69,1,0.0511,80.859,4,0.568
144,Grupo C4,Quédate,1FkUFngvfc9Dt9i0KVYvoA,43,0,0.0458,0.739,191333,0.866,1.23e-05,1,0.451,-5.362,0,0.0554,95.987,4,0.646
145,La Factoria,Perdóname,4CZXfVRMUleTRBs6L2A8RL,3,0,0.284,0.677,246160,0.812,0.0,9,0.261,-5.755,0,0.032,95.018,4,0.354
146,Xriz,Besos prohibidos,0q7seH1DdGJClg1xgpCPtK,39,0,0.0029,0.639,221780,0.879,1.67e-05,1,0.112,-4.839,1,0.0342,127.961,4,0.308
147,Alkilados,El orgullo,6BVumJy2SL0jQ8qrqjTges,0,0,0.309,0.772,192439,0.771,0.0,2,0.37,-5.996,0,0.0507,82.006,4,0.877
148,Alejandra Guzman,Mi Peor Error - Primera Fila [En Vivo][Remix],7jenGOJ4vQBWRz3WboW5Tj,43,0,0.0107,0.72,192573,0.761,0.0,1,0.101,-4.822,0,0.0369,102.987,4,0.732
