,artist_name,track_name,track_id,popularity,like,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
7878,Dani J,Quitémonos la Ropa,4cjOcIq9e1fqFbsLWao3pJ,53,0,0.645,0.648,227068,0.679,0.0,4,0.214,-6.081,0,0.0277,135.038,4,0.78
7879,Daniel Santacruz,Casablanca,0KyJtl0f3HgiQZvHQA85oP,47,0,0.893,0.584,198000,0.476,0.00293,7,0.159,-6.773,0,0.133,117.037,4,0.589
7880,Daniel Simo,Me Borre,26sM6AfMwWRfsioVEBbROs,49,0,0.219,0.759,178397,0.706,0.00162,9,0.342,-6.966,1,0.0381,119.998,4,0.933
7881,Raulin Rodriguez,Como Lo Niego,2lFlP9UEVDVOpF58RirmO7,48,0,0.644,0.884,224160,0.707,6.47e-06,1,0.0821,-2.875,0,0.0383,134.992,4,0.946
7882,Henry Santos,Aún No Es Tarde,4y10P06aOJBnBzfJczW5z5,50,0,0.528,0.783,215595,0.762,0.232,2,0.0969,-4.988,1,0.0325,125.018,4,0.889
7883,Yoskar Sarante,No Tengo Suerte En El Amor,1dazXPzmgBB7sNxodglb1l,54,0,0.0956,0.907,240720,0.691,4.91e-05,10,0.0708,-5.925,0,0.0388,132.161,4,0.915
7884,Luis Vargas,Muere Mi Alma,1frGyVe4rKghir7Jmb11r9,48,0,0.629,0.839,194375,0.833,0.0013,11,0.15,-3.563,1,0.0376,137.922,4,0.964
7885,Henry Santos,Algo Estúpido,0Bs4vpVtfHLFBcxTJAKXWa,49,0,0.241,0.84,184475,0.571,0.0786,5,0.0898,-6.701,1,0.0354,99.983,4,0.723
7886,Chiko Swagg,Abandonado,6NllsX7Qyuw7TtHy251RyG,46,0,0.397,0.741,210360,0.762,3.07e-05,9,0.0835,-5.24,0,0.0288,134.964,4,0.952
7887,Dani J,Bailemos Despacio,4fkOo3hEaC0VRu86zgFZRW,51,0,0.329,0.802,188691,0.734,0.0,2,0.177,-6.908,1,0.0656,130.007,4,0.756
7888,Marc Anthony,Tu Amor Me Hace Bien - Salsa Version,3yEtuhGR8jOtusa29jWrhG,70,0,0.398,0.691,300160,0.658,4.58e-05,0,0.112,-6.496,1,0.0359,97.68,4,0.617
